序号,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
4881,25,24.2,998,93,0,1.4,85,63,0,35,2,18,1
4882,26.8,26.9,998,82,0,0.8,70,51,0,50,2,8,1.1
4883,28.7,28.4,997,72,0,1.6,70,51,0,46,2,15,1
4884,29,28.6,997,72,0.1,2.2,62,44,0,44,2,27,0.9
4885,N/A,N/A,N/A,N/A,N/A,N/A,52,36,0,32,2,50,0.8
4886,29.2,28.8,997,71,0,2.1,60,43,0,28,2,67,0.7
4887,29.6,29.1,997,69,0,2.9,,,,,,,
4888,29.9,29.5,997,68,0,1.9,45,31,34,64,2,99,0.5
4889,30,29.6,996,70,0,2.8,67,48,0,54,2,146,0.6
4890,N/A,N/A,N/A,N/A,N/A,N/A,55,38,0,34,2,164,0.6
4891,N/A,N/A,N/A,N/A,N/A,N/A,48,33,0,31,2,149,0.6
4892,29.1,29,996,74,0,1.5,33,23,0,30,2,97,0.6
4893,28.5,28.6,997,77,0,0.9,40,28,0,35,2,86,0.6
4894,28.2,28.3,997,79,0,1.2,45,31,36,33,2,70,0.7
4895,28,28.1,997,80,0,1.3,64,38,77,40,2,49,0.8
4896,27.8,27.9,997,81,0,1.3,59,42,51,33,2,63,0.7
4897,27.3,27.6,997,84,0,0.8,42,29,0,24,2,56,0.5
4898,27,27.5,997,85,0,0,22,15,0,15,2,50,0.2
4899,26.4,26.7,996,89,0,1.1,16,8,0,25,2,50,0.2
4900,26.3,26.8,996,91,0,0.6,26,11,0,52,2,49,0.2
4901,26.4,26.9,997,91,0,0.6,15,7,0,24,2,46,0.2
4902,26.4,26.9,997,91,0,0.7,16,11,0,26,2,44,0.2
4903,26.7,27.2,998,90,0,0.7,,,,,,,
4904,27.2,27.6,998,88,0,1,102,76,0,24,2,40,0.3
4905,28,28.3,998,84,0,1.5,,,,,,,
4906,28.9,29,998,78,0,1.7,,,,,,,
4907,30.3,30.3,998,73,0,2,,,,,,,
4908,31.4,31.4,997,71,0,1.9,,,,,,,
4909,32.1,32.2,997,70,0,1.7,,,,,,,
4910,32.9,32.9,996,66,0,1.4,,,,,,,
4911,33.5,33.3,996,64,0,2.1,,,,,,,
4912,32.9,33.3,996,72,0,1.9,,,,,,,
4913,32.8,33,996,70,0,2.2,,,,,,,
4914,32.6,32.8,996,71,0,2,,,,,,,
4915,31.8,32.4,996,78,0,2.9,,,,,,,
4916,31.1,31.8,997,82,0,2.6,,,,,,,
4917,30.6,31.2,998,82,0,2.4,,,,,,,
4918,28.5,28,1000,73,0,3.2,76,39,102,34,2,149,0.7
4919,27,26.5,999,77,0,3.2,73,40,95,35,2,115,0.7
4920,26.3,26.2,999,81,0,0.9,66,34,82,41,2,84,0.7
4921,25.8,25.9,999,83,0,0.2,67,36,83,47,2,71,0.7
4922,25.5,25.5,999,87,0,1.2,70,47,90,47,2,63,0.8
4923,25.7,25.7,999,87,0,1.5,87,64,97,54,2,47,1
4924,25.9,25.9,999,83,0,0.7,49,24,0,14,2,156,0.3
4925,25.8,25.7,999,85,0,1.9,47,23,0,14,2,148,0.3
4926,25.5,25.5,1000,86,0,1.1,48,19,0,13,2,152,0.3
4927,25.9,25.7,1000,82,0,1.5,72,52,77,77,2,2,1
4928,26.3,26.2,1001,81,0,1,79,58,93,70,2,2,1
4929,26.7,26.5,1001,80,0,1.4,85,63,83,60,2,13,1
4930,28.4,28.3,1001,76,0,1.5,89,66,85,64,2,23,1.1
4931,29.7,29.8,1001,74,0,0.6,,,,,,,
4932,31.2,31.1,1001,70,0,2.4,66,34,82,41,2,84,0.7
4933,32.6,32.5,1001,66,0,1.8,67,36,83,47,2,71,0.7
4934,32.7,32.6,1000,65,0,0.8,70,47,90,47,2,63,0.8
4935,33.3,33.2,999,66,0,2.1,87,64,97,54,2,47,1
4936,33.5,33.4,999,66,0,3.4,90,67,89,57,2,25,1
4937,33.5,33.5,1000,67,0,2.8,92,68,82,52,2,19,1.2
4938,31.8,31.8,1000,71,0,3.5,93,69,0,43,2,16,1.1
4939,29.5,29.4,1001,75,0,2.8,72,52,77,77,2,2,1
4940,28.7,28.8,1001,79,0,2.2,79,58,93,70,2,2,1
4941,28,28.3,1001,83,0,1.4,85,63,83,60,2,13,1
4942,27.7,27.9,1002,83,0,1.6,89,66,85,64,2,23,1.1
4943,27.8,27.9,1002,80,0,1,,,,,,,
4944,27.3,27.5,1000,84,0.2,1.5,82,60,63,46,2,102,0.9
4945,26.4,26.8,1000,89,0,0.8,,,,,,,
4946,26.3,26.7,1000,91,0,1,,,,,,,
4947,26.1,26.5,1000,92,1.2,1.3,,,,,,,
4948,25.2,25.5,999,95,2.3,1.4,,,,,,,
4949,25.1,25.5,999,96,1.1,1.2,,,,,,,
4950,24.6,23.7,999,95,0.3,1.4,,,,,,,
4951,25.1,25.5,999,96,0,1.3,,,,,,,
4952,25.3,25.6,999,94,0.1,1.3,,,,,,,
4953,25.3,25.6,999,94,0,1.1,,,,,,,
4954,25.7,26,999,92,0,1.1,,,,,,,
4955,26.6,26.9,999,89,0,1.4,,,,,,,
4956,27.7,27.9,998,82,0,1.2,,,,,,,
4957,28.6,28.6,998,78,0,1.6,,,,,,,
4958,29.3,29.3,997,77,0,2.3,,,,,,,
4959,31.1,31,997,69,0,1.1,,,,,,,
4960,32.7,32.4,996,64,0,2,,,,,,,
4961,32.3,31.9,996,64,0,2.3,,,,,,,
4962,31.8,31.4,997,64,0,1.4,,,,,,,
4963,31.9,31.3,997,59,0,0.8,82,60,65,9,2,163,0.9
4964,30.5,30.6,997,73,0,1.2,100,75,89,11,2,146,1
4965,29.6,30.2,998,83,0,0.8,123,93,93,13,2,133,1.1
4966,29.5,29.7,999,79,0,2.5,128,97,111,16,2,116,1.2
4967,28.8,28.5,999,74,0,2.5,142,108,113,15,2,98,1.2
4968,28.6,27.3,999,60,0,3.1,,,,,,,
4969,27.7,26.1,1000,57,0,2.6,152,116,117,30,2,42,1.3
4970,26.6,25.1,999,59,0,2.2,173,131,0,24,2,46,1.3
4971,26.2,24.5,1000,58,0,2.9,,,,,,,
4972,25.1,24,1000,64,0,1.1,,,,,,,
4973,23.8,23.5,1001,73,0,0.9,124,94,0,20,2,33,1
4974,22.7,22.2,1001,81,0,0.9,,,,,,,
4975,25.1,24.2,1001,67,0,0.7,,,,,,,
4976,25.9,25,1001,69,0,1.6,,,,,,,
4977,27.2,26.1,1001,63,0,1.7,202,152,0,11,2,50,1.3
4978,28.4,27,1001,57,0,1.8,213,163,0,11,2,57,1.4
4979,29.3,28.1,1001,56,0,1.2,179,135,0,16,2,51,1.4
4980,N/A,N/A,N/A,N/A,N/A,N/A,156,119,0,18,2,54,1.5
4981,N/A,N/A,N/A,N/A,N/A,N/A,149,114,118,19,2,72,1.5
4982,N/A,N/A,N/A,N/A,N/A,N/A,198,148,0,17,2,115,1.5
4983,N/A,N/A,N/A,N/A,N/A,N/A,204,154,0,12,2,161,1.5
4984,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
4985,N/A,N/A,N/A,N/A,N/A,N/A,203,153,0,7,2,225,1.5
4986,31.9,30.9,999,58,0,2.9,186,140,0,5,2,237,1.5
4987,N/A,N/A,N/A,N/A,N/A,N/A,172,130,0,4,2,227,1.4
4988,N/A,N/A,N/A,N/A,N/A,N/A,156,119,0,4,2,206,1.4
4989,N/A,N/A,N/A,N/A,N/A,N/A,159,121,0,6,2,188,1.4
4990,28.5,28.3,999,74,0,1.4,163,124,129,6,2,193,1.8
4991,28,27.7,999,76,0,2.1,160,122,0,6,2,176,2
4992,30.5,29,1000,53,0,2.3,163,124,0,5,2,156,1.6
4993,26.8,26.7,999,81,0,1.8,159,121,0,5,2,125,1.4
4994,26.5,26.3,999,81,0,1.9,169,128,0,5,2,107,1.2
4995,32.9,31.4,999,50,0,2.7,183,138,0,6,2,98,1.2
4996,25.7,25.6,999,83,0,0.9,,,,,,,
4997,25.3,25.1,998,85,0,1.7,,,,,,,
4998,24.9,24.5,998,87,0,0.1,183,138,0,3,2,77,1
4999,25,24.4,999,88,0,0.7,95,71,0,3,2,114,0.9
5000,25.2,25.2,999,89,0,1.5,,,,,,,
5001,27,27.1,999,81,0,0.6,142,108,0,9,2,45,1.3
5002,29.3,29,999,70,0,1.2,236,186,0,7,2,70,1.5
5003,N/A,N/A,N/A,N/A,N/A,N/A,259,209,0,7,2,69,1.5
5004,27.6,27.3,1000,77,0,2.3,,,,,,,
5005,26.8,26.7,999,81,0,1.8,251,201,0,8,2,41,2
5006,26.5,26.3,999,81,0,1.9,258,208,0,7,2,53,2.4
5007,26.4,26.1,999,78,0,1.3,297,247,0,8,2,72,2.6
5008,25.7,25.6,999,83,0,0.9,296,246,0,7,2,65,2.6
5009,25.3,25.1,998,85,0,1.7,284,234,0,9,2,81,2.3
5010,24.9,24.5,998,87,0,0.1,284,234,0,11,2,91,2.3
5011,25,24.4,999,88,0,0.7,287,237,0,14,2,76,2.5
5012,25.2,25.2,999,89,0,1.5,125,95,0,8,2,89,1
5013,27,27.1,999,81,0,0.6,65,47,0,9,2,93,0.9
5014,29.3,29,999,70,0,1.2,80,59,0,12,2,77,0.9
5015,30.7,30.4,998,64,0,0.4,57,40,0,10,2,56,0.8
5016,31.9,31.3,998,60,0,1.1,57,40,40,15,2,48,0.9
5017,N/A,N/A,N/A,N/A,N/A,N/A,64,46,64,15,2,49,0.9
5018,N/A,N/A,N/A,N/A,N/A,N/A,48,33,0,6,2,75,0.9
5019,N/A,N/A,N/A,N/A,N/A,N/A,54,38,0,3,2,70,0.8
5020,N/A,N/A,N/A,N/A,N/A,N/A,59,42,0,6,2,59,0.8
5021,N/A,N/A,N/A,N/A,N/A,N/A,53,37,0,6,2,68,0.8
5022,N/A,N/A,N/A,N/A,N/A,N/A,58,41,0,6,2,64,0.9
5023,N/A,N/A,N/A,N/A,N/A,N/A,75,55,0,23,2,47,1.1
5024,N/A,N/A,N/A,N/A,N/A,N/A,80,59,0,16,5,37,1.3
5025,N/A,N/A,N/A,N/A,N/A,N/A,84,62,0,13,6,42,1.3
5026,N/A,N/A,N/A,N/A,N/A,N/A,87,64,0,16,4,33,2.3
5027,N/A,N/A,N/A,N/A,N/A,N/A,97,72,0,19,3,32,2.4
5028,N/A,N/A,N/A,N/A,N/A,N/A,83,61,0,17,2,51,1.7
5029,N/A,N/A,N/A,N/A,N/A,N/A,85,63,0,14,2,74,1.4
5030,N/A,N/A,N/A,N/A,N/A,N/A,94,70,0,13,2,90,1.3
5031,N/A,N/A,N/A,N/A,N/A,N/A,109,82,0,20,2,59,1.6
5032,N/A,N/A,N/A,N/A,N/A,N/A,120,91,0,18,2,68,1.7
5033,N/A,N/A,N/A,N/A,N/A,N/A,90,67,0,12,2,94,1.3
5034,N/A,N/A,N/A,N/A,N/A,N/A,90,67,0,13,2,98,1.2
5035,30.5,30.4,997,70,0,1.3,80,59,0,9,2,112,1.1
5036,N/A,N/A,N/A,N/A,N/A,N/A,109,82,0,11,2,115,1.3
5037,30.1,30.1,997,72,0,0.9,119,90,0,13,2,111,1.3
5038,29.3,29.5,998,76,0,0.7,128,97,0,15,2,93,1.4
5039,29.5,29.6,999,76,0,1.2,143,109,0,17,2,72,1.5
5040,28.9,29.1,999,78,0,0.7,165,125,0,20,2,58,1.6
5041,28.5,28.9,999,82,0,0.7,122,92,0,24,2,33,1.3
5042,27.9,28.4,998,84,0,0.3,107,80,0,18,2,38,1.2
5043,27.6,27.9,998,84,0,0.9,,,,,,,
5044,27.5,27.7,998,84,0,1.8,,,,,,,
5045,27.1,27.2,998,84,0,1.8,85,63,0,7,2,72,1
5046,N/A,N/A,N/A,N/A,N/A,N/A,82,60,0,7,2,60,1
5047,26.9,27.1,1000,87,0,1.6,85,63,0,6,2,72,1
5048,26.9,26.9,1000,84,0,2.1,88,65,0,8,2,68,1
5049,27.2,27.1,1001,81,0,1.8,108,81,0,12,2,67,1.1
5050,27.3,27.2,1001,80,0,1.8,98,73,0,15,2,51,1.1
5051,27.2,27.1,1002,80,0,1.7,74,54,0,17,2,32,1.2
5052,28.3,27.8,1002,73,0,3.1,58,41,0,14,2,30,1
5053,29.6,29.6,1002,75,0,1.8,,,,,,,
5054,31.2,31.2,1001,71,0,1.9,68,49,64,0,0,84,1.1
5055,32.3,32.4,1001,68,0,1,89,66,75,11,2,93,1.1
5056,32.8,32.8,1001,67,0,1.2,109,82,84,9,2,126,1.5
5057,33,32.7,1001,64,0,2.1,189,142,0,0,0,159,1.5
5058,33.2,33,1000,63,0,1.4,,,,,,,
5059,32.7,32.7,1000,68,0,1.7,,,,,,,
5060,31.5,31.5,1001,72,0,3.3,80,59,84,40,2,173,1.6
5061,30.6,30.8,1002,75,0,1.8,105,79,80,43,2,158,1.8
5062,30.4,30.6,1002,76,0,2.4,134,102,128,56,2,127,2.4
5063,29.9,30,1003,78,0,3.1,170,129,133,50,2,124,2.7
5064,29.6,30,1003,81,0,1.9,178,134,0,41,2,125,2.8
5065,28.9,29.3,1003,84,0,2.9,178,134,0,46,2,90,2.8
5066,28.5,29.1,1003,87,0,1.2,208,158,0,49,2,59,3.1
5067,28,28.6,1003,89,0,1.6,222,172,0,64,2,35,3.4
5068,27.6,28,1003,89,0,2.4,231,181,0,97,15,2,3.7
5069,27.4,27.9,1003,90,0,1.9,228,178,0,82,2,8,3.4
5070,27.3,27.8,1003,90,0,2,203,153,0,81,2,10,2.7
5071,27.2,27.7,1004,91,0,2.1,99,74,0,93,2,3,1.4
5072,27.3,27.8,1004,91,0,2,97,72,0,80,2,2,1.5
5073,27.6,28,1004,89,0,2.4,89,66,0,54,2,22,1.3
5074,27.6,28,1005,88,0,1.9,,,,,,,
5075,27,27.4,1005,91,0,2.2,74,54,65,47,2,71,1.3
5076,26.9,27.6,1005,94,0,1.4,52,36,0,43,2,96,0.9
5077,28.3,28.8,1004,88,0,2.6,36,25,0,16,2,111,0.6
5078,30.4,30.5,1004,75,0,1.8,44,25,25,11,2,140,0.6
5079,31,31.4,1004,75,0,0.8,46,22,0,8,2,146,0.6
5080,31.2,31.4,1001,74,0,1.7,47,22,0,9,2,149,0.6
5081,30,30.4,1002,80,0,2.2,63,27,45,12,2,170,0.7
5082,27.7,26.8,1004,65,0,1.3,78,33,40,13,2,182,0.7
5083,N/A,N/A,N/A,N/A,N/A,N/A,73,34,48,18,2,178,0.7
5084,N/A,N/A,N/A,N/A,N/A,N/A,60,34,50,23,2,168,0.8
5085,N/A,N/A,N/A,N/A,N/A,N/A,55,35,60,30,2,136,0.8
5086,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
5087,25.3,24.8,1005,83,0,3.5,57,40,64,33,2,111,0.8
5088,24.6,24,1006,84,0,1.5,60,43,63,42,2,97,0.9
5089,23.9,23.1,1006,86,0,1.9,69,50,78,45,2,86,0.9
5090,23.8,23.2,1005,85,0,1.2,77,56,93,49,2,74,1.1
5091,23.7,23.1,1004,85,0,0.9,104,78,98,41,2,82,1.4
5092,23.7,23,1004,86,0,1.7,112,84,88,43,2,65,1.5
5093,23.4,22.7,1004,87,0,1.4,125,95,98,50,2,50,1.6
5094,23.6,22.7,1005,86,0,2.9,139,106,108,56,2,32,1.6
5095,23.8,23.1,1006,84,0,1.5,147,112,0,57,2,19,1.7
5096,24,23.3,1006,83,0,2.2,133,101,0,63,2,8,1.5
5097,23.9,23.1,1006,87,0,1.8,,,,,,,
5098,24.5,24,1007,84,0,0.6,,,,,,,
5099,26.6,26.2,1006,76,0,1.4,159,121,0,53,2,83,1.8
5100,28,27.6,1005,70,0,0.6,120,91,0,34,2,145,1.2
5101,27.8,27.3,1005,74,0,3.3,93,69,0,33,2,190,1
5102,26.4,25.9,1005,81,0,4.4,99,41,0,0,2,199,0.8
5103,27.1,26.5,1005,77,0,5.1,120,43,45,15,2,239,0.8
5104,28,27.5,1004,75,0,3.4,137,45,49,17,2,273,0.9
5105,28.1,27.7,1004,75,0,3.2,147,48,69,20,2,293,0.9
5106,28.2,28,1004,74,0,1.3,148,71,112,0,2,296,1
5107,28.2,28,1004,75,0,1.3,136,59,71,26,2,271,1
5108,27.8,27.6,1004,77,0,1.8,126,56,67,28,2,251,1
5109,27.6,27.5,1005,78,0,1.2,89,42,0,30,2,191,0.9
5110,27.4,27.2,1005,78,0,1.4,,,,,,,
5111,27.4,27.3,1006,78,0,1.2,83,61,87,45,2,144,1
5112,27.3,27.3,1006,80,0,1,83,61,99,54,2,109,1.1
5113,26.9,26.8,1005,81,0,1.3,97,72,89,57,2,87,1.1
5114,26.7,26.6,1005,81,0,1.2,102,76,83,41,2,128,1.3
5115,26.5,26.5,1005,81,0,0.6,102,76,83,41,2,128,1.3
5116,26.4,26.3,1004,82,0,1.6,100,75,0,31,2,96,1.1
5117,26.1,26.1,1005,83,0,0.8,,,,,,,
5118,26.2,26.1,1005,82,0,1.3,,,,,,,
5119,26.2,26.2,1005,82,0,0.8,,,,,,,
5120,26.6,26.5,1005,81,0,1.1,,,,,,,
5121,27.4,27.1,1006,77,0,1.8,,,,,,,
5122,27.1,27,1006,80,0,1.7,118,89,0,37,2,72,1.5
5123,28.3,28.2,1006,75,0,1.2,153,117,123,64,4,59,1.7
5124,29.3,29,1006,71,0,2,163,124,0,55,4,93,1.6
5125,29.4,29,1006,71,0,2.2,172,130,0,49,4,142,1.6
5126,29.2,29.1,1006,74,0,1.3,169,128,0,38,3,199,1.6
5127,29.9,29.8,1005,73,0.1,2.2,150,115,128,31,2,235,1.9
5128,30.9,30.3,1004,64,0,2.2,163,124,125,26,2,243,2
5129,31.2,30.7,1004,63,0,1.1,145,111,0,23,2,221,1.8
5130,31.4,30.9,1004,63,0,1.3,138,105,112,23,2,220,1.6
5131,30.9,30.6,1003,66,0,1.3,130,99,107,26,2,218,1.6
5132,29.8,29.6,1004,71,0,1.2,127,96,97,27,2,200,1.6
5133,29.2,29.2,1005,74,0,1.1,123,93,98,28,2,186,1.5
5134,28.9,28.8,1006,74,0,1,130,99,107,29,2,170,1.7
5135,27.8,28,1006,82,0,1.3,139,106,119,29,2,154,1.8
5136,27.4,27.7,1006,85,0,0.9,139,106,0,32,2,122,1.5
5137,27.1,27.3,1006,85,0,1,89,66,0,31,2,106,1.2
5138,26.5,26.7,1006,88,0,1.4,73,53,0,28,2,91,1
5139,26,26.3,1006,89,0,0.6,74,54,54,42,2,57,0.9
5140,26,26.3,1006,91,0,1.1,73,53,59,32,2,48,0.9
5141,26.2,26.6,1005,90,0,0.6,93,69,69,40,2,29,1.4
5142,25.5,25.7,1006,92,0,2,100,75,0,41,2,19,1.7
5143,25.4,25.6,1006,93,0,1.7,103,77,0,43,2,13,2.1
5144,26.1,26.6,1006,92,0,0.7,117,88,0,52,2,6,1.5
5145,28.2,27.7,1007,71,0,1.7,104,78,88,57,2,2,1.2
5146,29.9,29.1,1006,65,0,3,,,,,,,
5147,30.8,29.3,1007,56,0,4.1,114,86,0,39,2,38,1.1
5148,31.2,29.9,1007,55,0,3,105,79,0,33,2,61,1
5149,31.6,30.2,1006,53,0,2.9,87,64,0,31,2,87,0.9
5150,32.1,30.9,1006,55,0,3.1,77,56,0,33,3,106,0.8
5151,32.5,31.2,1005,51,0,1.6,80,59,0,21,3,128,0.7
5152,32.6,31.2,1005,50,0,2,75,55,0,17,2,157,0.7
5153,32.8,31.6,1005,51,0,1.3,58,41,49,18,2,161,0.7
5154,32.5,31.2,1004,53,0,2.4,70,47,0,17,2,176,0.7
5155,31.9,30.6,1004,53,0,2.3,68,47,56,19,2,174,0.9
5156,31,30,1004,56,0,1.3,69,50,64,19,2,167,0.9
5157,29.8,29.1,1005,64,0,1.8,75,55,84,25,2,156,0.9
5158,28.9,28.4,1006,69,0,1.8,89,66,106,28,2,154,1
5159,28.3,27.9,1006,71,0,1.5,127,96,123,31,2,128,1
5160,27.7,27.3,1006,75,0,2.5,129,98,0,32,2,106,1
5161,27.3,27,1006,77,0,2.2,119,90,0,34,2,88,1
5162,26.7,26.6,1006,80,0,1.2,135,103,0,37,2,72,1
5163,26.2,26.2,1006,83,0,1,152,116,0,38,2,67,1
5164,25.7,25.7,1006,86,0,0.9,148,113,0,44,8,41,1
5165,25.7,25.7,1006,86,0,1.3,158,120,0,46,2,29,0.9
5166,25.2,25.2,1006,89,0,1.3,155,118,0,46,2,26,1
5167,25.3,25.7,1006,89,0,0,156,119,0,49,2,19,1
5168,27.3,27.4,1006,81,0,0.9,159,121,0,50,2,14,1.1
5169,28.8,28.5,1006,72,0,1.5,153,117,0,56,2,14,1.4
5170,29.9,29.5,1007,67,0,1.4,165,125,0,59,2,45,1.2
5171,31.5,30.8,1007,60,0,1.7,163,124,0,55,2,77,1.2
5172,32.4,31.6,1006,56,0,1.1,134,102,0,34,2,123,1.1
5173,33.4,32.5,1006,52,0,0.8,113,85,88,28,2,140,1.1
5174,34,32.7,1006,49,0,1.7,125,95,104,24,2,150,1
5175,34.4,33.1,1005,49,0,2,122,92,0,21,2,166,1
5176,33.9,32.7,1005,52,0,2.7,124,94,107,20,2,155,1
5177,34.3,33.2,1005,52,0,2,132,100,106,21,2,143,1.1
5178,34.3,32.7,1004,45,0,1.8,,,,,,,
5179,33.4,32.5,1004,55,0,1.9,135,103,115,24,2,157,1.1
5180,31.9,31.4,1004,63,0,1.6,130,99,105,25,2,154,1.1
5181,31.2,30.7,1005,64,0,1.5,122,92,106,27,2,135,1.1
5182,30.4,30.2,1005,69,0,1.5,134,102,125,30,2,122,1.1
5183,29.4,29.4,1006,76,0,2.1,144,110,128,37,2,100,1.1
5184,28.5,28.7,1006,82,0,2.3,153,117,127,43,2,80,1.1
5185,28.1,28.3,1006,82,0,1.7,108,81,0,30,2,100,0.8
5186,27.8,27.9,1006,80,0,1.1,35,24,0,18,2,92,0.6
5187,27.3,27.4,1006,82,0,1.4,33,23,0,25,2,58,0.7
5188,N/A,N/A,N/A,N/A,N/A,N/A,30,21,0,38,2,44,0.7
5189,26.9,27,1006,83,0,1.3,28,19,0,17,2,71,0.7
5190,26.6,26.6,1006,83,0,1.3,33,23,0,18,2,71,0.7
5191,26.6,26.8,1007,84,0,0.5,28,19,0,22,2,71,0.7
5192,27.5,27.2,1007,75,0,1.5,30,21,0,19,2,80,0.7
5193,28.2,28,1007,75,0,1.2,30,21,0,22,2,80,0.7
5194,29,28.3,1007,65,0,1.5,35,24,30,23,2,75,0.8
5195,30.3,29.8,1007,65,0,1.2,40,28,38,26,2,65,0.8
5196,31.1,30.7,1006,65,0,1.2,,,,,,,
5197,31.8,31.2,1006,63,0,2.6,,,,,,,
5198,32,31.4,1005,63,0,3,33,23,0,24,2,76,0.9
5199,32.2,31.6,1004,63,0,3,39,27,0,20,2,96,0.8
5200,N/A,N/A,N/A,N/A,N/A,N/A,39,17,0,14,2,123,0.7
5201,32.8,32.1,1005,61,0,3.1,43,16,0,13,2,137,0.6
5202,32,31.5,1004,64,0,3,41,13,14,12,2,131,0.6
5203,31.4,31,1004,66,0,2.3,44,12,0,12,2,139,0.6
5204,30.9,30.4,1005,66,0,2.3,42,18,41,20,2,132,0.7
5205,30.3,30,1005,69,0,1.6,46,19,46,26,2,111,0.7
5206,29.6,29.2,1006,69,0,2.1,43,26,43,36,2,94,0.8
5207,28.9,28.3,1006,70,0,2.6,54,36,57,48,2,58,0.9
5208,28.3,27.8,1007,71,0,2.1,52,34,54,50,2,51,0.9
5209,27.9,27.3,1007,71,0,1.9,49,32,49,54,2,32,0.9
5210,27.1,27,1007,80,0,1.6,48,33,41,69,2,21,0.9
5211,26.5,26.5,1006,84,0,1.2,63,45,61,66,2,28,1.1
5212,25.8,26,1006,89,0,0.7,73,53,60,48,2,27,1.2
5213,N/A,N/A,N/A,N/A,N/A,N/A,77,56,0,47,2,18,1.2
5214,25.5,25.6,1006,89,0,1.4,84,62,0,39,2,19,1.3
5215,25.6,25.8,1007,91,0,1.7,80,59,0,42,2,12,1.3
5216,26.4,26.6,1007,87,0,1.4,78,57,0,48,2,12,1.2
5217,27,27.1,1007,83,0,1.2,64,46,0,58,2,7,1
5218,28.9,28.4,1007,69,0,1.8,78,57,76,58,2,15,1.2
5219,29.3,28.9,1007,69,0,1.3,77,56,0,34,3,52,1
5220,30.4,29.8,1006,64,0,1.6,32,22,0,24,5,78,0.7
5221,31.1,30.3,1006,60,0,1.7,30,14,0,15,3,94,0.5
5222,31.8,30.8,1006,57,0,2,37,14,20,16,3,116,0.5
5223,32,30.9,1005,54,0,1.5,46,18,35,13,2,146,0.5
5224,32.8,31.5,1004,52,0,2.6,54,21,37,14,2,163,0.6
5225,32.8,31.8,1004,54,0,1.5,49,24,0,13,2,155,0.5
5226,31.8,30.8,1004,59,0,3.8,47,19,24,12,2,149,0.5
5227,31.4,30.8,1004,64,0,2.6,49,17,31,14,2,154,0.6
5228,30.5,30.1,1004,68,0,2.7,47,22,40,19,2,149,0.7
5229,29.8,29.8,1004,74,0,1.7,57,25,64,26,2,145,0.8
5230,29.4,29.4,1005,76,0,2.1,59,38,68,35,4,146,1.3
5231,29.2,29.3,1004,77,0,1.5,64,46,71,41,5,130,1.4
5232,28.9,29,1004,78,0,1.9,69,50,88,47,4,106,1.4
5233,28.6,28.8,1004,80,0,1.2,65,47,61,53,3,81,1.4
5234,28.1,28.3,1004,82,0,1.2,55,39,41,46,3,73,1.3
5235,27.9,28.3,1004,85,0,1.3,50,35,43,64,3,48,1.2
5236,27.1,27.5,1004,89,0,1.3,56,39,61,73,3,31,1.2
5237,26.8,27.3,1003,91,0,1.4,57,40,49,69,2,19,1.2
5238,26.6,27.1,1003,92,0,0.8,48,33,36,63,2,14,1.1
5239,26.7,27.3,1003,92,0,0.7,46,32,42,85,2,2,1
5240,27.2,27.8,1004,90,0,0.7,53,31,56,70,2,11,1
5241,29.2,29.6,1003,81,0,0.8,53,37,50,60,3,25,1.2
5242,30.4,30.4,1003,72,0,1.2,64,46,58,70,7,40,1.2
5243,31,30.7,1003,68,0,1.8,54,38,45,52,12,76,1.3
5244,31,30.5,1002,67,0,3.1,60,43,61,54,13,97,1.4
5245,31,30.7,1002,69,0,3.1,65,47,57,50,15,117,1.5
5246,31.1,30.5,1002,65,0,3.4,66,42,82,35,15,146,1.4
5247,31.3,31,1001,69,0,3.5,67,41,70,27,15,173,1.4
5248,32,31.3,1000,61,0,2.4,102,43,68,23,13,204,1.4
5249,31.6,31,1000,64,0,2.8,92,45,81,20,9,193,1.5
5250,31.6,31.2,1000,66,0,2.6,,,,,,,
5251,31.2,30.8,1000,65,0,1.8,93,69,87,23,5,186,1.6
5252,30.4,30.3,1000,71,0,1.5,63,45,53,22,2,130,1.1
5253,30.1,30.1,1000,73,0,1.7,55,39,47,24,2,102,0.8
5254,29.9,30,1001,75,0,1.5,48,33,48,26,2,89,0.7
5255,29.6,29.6,1001,75,0,1.7,54,38,49,28,2,87,0.8
5256,28.8,28.9,1002,78,0,1.8,63,45,55,35,2,79,0.9
5257,25.4,24.9,1002,80,0,1.9,60,43,53,34,2,76,0.9
5258,25.4,25.1,1001,80,0,0.8,73,53,68,38,2,72,0.9
5259,25.9,25.5,1002,79,0,1.4,84,62,69,34,2,65,0.9
5260,26.1,25.7,1001,78,0,1.8,98,73,83,40,2,47,0.9
5261,25.9,25.5,1001,81,0,3,105,79,82,37,2,40,0.9
5262,25.7,25.2,1002,82,0,4,114,86,0,40,2,34,1
5263,25.4,24.8,1002,81,0,3.8,127,96,0,52,2,22,1.1
5264,25.6,25.1,1004,82,0,3.9,149,114,0,50,2,17,1.1
