序号,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
183,1.3,2.2,1023,20,0,3.6,,,,,,,
184,1.7,3.1,1023,19,0,2,,,,,,,
185,2.2,4.2,1023,19,0,0.7,19,8,12,16,6,58,0.3
186,0.1,1.4,1023,23,0,1.6,,,,,,,
187,-0.8,0.2,1023,26,0,1.7,,,,,,,
188,-1.5,-0.6,1023,29,0,1.3,83,61,96,80,25,11,1.2
189,-2.2,-1.7,1023,34,0,1.2,134,102,123,93,34,7,1.7
190,-3.8,-3.7,1023,40,0,0.8,163,124,155,98,37,7,2.1
191,-4.6,-5.2,1023,44,0,1.2,193,145,177,98,38,7,2.3
192,-4.4,-5.1,1023,44,0,1.6,212,162,196,98,45,8,2.7
193,-5.9,-6.6,1023,49,0,0.5,207,157,164,88,40,7,2.4
194,-6.9,-8.5,1022,55,0,0.7,200,150,0,83,37,7,2.4
195,-7.2,-8.6,1023,56,0,0.3,176,133,0,81,31,6,2.1
196,-7.8,-10.3,1022,61,0,1.1,159,121,0,80,35,5,2
197,-8.1,-10.4,1022,63,0,0.5,149,114,0,76,36,5,1.9
198,-7.5,-10.1,1022,62,0,1.2,135,103,109,75,30,7,2.1
199,-6.9,-8.9,1022,56,0,1.3,87,64,0,65,22,8,1.9
200,-7.3,-9.6,1022,56,0,2,49,34,0,61,14,7,1.2
201,-6.5,-8,1022,53,0,1,,,,,,,
202,-3.3,-3.4,1022,40,0,1.1,28,19,0,55,7,10,0.8
203,-1.3,-1,1022,31,0,2.3,21,14,15,42,6,23,0.7
204,0.3,1.2,1022,28,0,1.6,25,17,25,40,8,27,0.8
205,2.7,4.2,1021,23,0,1,36,25,32,38,14,31,1
206,4.1,5.6,1020,21,0,1.3,55,39,0,39,20,33,1
207,5.3,7.1,1019,20,0,0.7,57,40,0,43,19,34,1.1
208,5.1,6.6,1019,20,0,1.3,46,32,38,46,17,35,1
209,4.1,5.3,1020,22,0,1.8,68,49,57,63,21,26,1.1
210,2,3.1,1020,27,0,1.2,77,56,71,68,25,25,1.2
211,0.7,1.5,1021,32,0,1,79,58,81,75,23,20,1.4
212,-0.6,-0.4,1021,38,0,1.1,143,109,129,99,30,8,2.4
213,-1.2,-0.6,1021,42,0,0.1,139,106,133,98,30,8,2.7
214,-2.8,-3.7,1022,50,0,1,208,158,194,103,44,9,3.6
215,-3.6,-4.2,1022,52,0,0.2,282,232,260,113,49,10,3.3
216,-3.6,-5.5,1022,58,0,1.3,324,274,280,119,55,10,3.7
217,-4.1,-5.6,1022,55,0,1.1,314,264,269,115,58,10,4
218,-5.2,-7.1,1022,61,0,0.6,255,205,0,108,46,9,3.5
219,-3.9,-5.3,1023,52,0,1.5,100,75,0,73,24,7,1.7
220,-4.1,-5,1023,48,0,1.1,78,57,0,68,24,7,1.5
221,-4.8,-6.2,1023,51,0,1.5,79,58,0,67,24,7,1.5
222,-4.6,-5.9,1024,48,0,2.1,59,42,0,60,16,7,1.1
